LOCATION,Country,Time,Value
NLD,Netherlands,Mar-19,55.04121
NLD,Netherlands,Apr-19,53.31
NLD,Netherlands,May-19,53.54591
NLD,Netherlands,Jun-19,51.19239
NLD,Netherlands,Jul-19,53.30804
NLD,Netherlands,Aug-19,49.39842
NLD,Netherlands,Sep-19,51.93811
NLD,Netherlands,Oct-19,57.1487
NLD,Netherlands,Nov-19,54.95818
NLD,Netherlands,Dec-19,51.76508
NLD,Netherlands,Jan-20,53.79854
NLD,Netherlands,Feb-20,47.45116
NLD,Netherlands,Mar-20,50.03442
NLD,Netherlands,Apr-20,41.17877
NLD,Netherlands,May-20,41.18097
NLD,Netherlands,Jun-20,48.46416
NLD,Netherlands,Jul-20,48.68019
NLD,Netherlands,Aug-20,46.13046
NLD,Netherlands,Sep-20,52.55642
ESP,Spain,Jan-19,31.30898
ESP,Spain,Feb-19,29.85569
ESP,Spain,Mar-19,33.94672
ESP,Spain,Apr-19,29.7268
ESP,Spain,May-19,32.98525
ESP,Spain,Jun-19,31.54855
ESP,Spain,Jul-19,32.13377
ESP,Spain,Aug-19,25.75358
ESP,Spain,Sep-19,32.33443
ESP,Spain,Oct-19,33.05654
ESP,Spain,Nov-19,30.06213
ESP,Spain,Dec-19,30.01789
ESP,Spain,Jan-20,30.39592
ESP,Spain,Feb-20,28.9374
ESP,Spain,Mar-20,28.65926
ESP,Spain,Apr-20,18.22477
ESP,Spain,May-20,19.18306
ESP,Spain,Jun-20,25.6405
ESP,Spain,Jul-20,27.43191
ESP,Spain,Aug-20,22.93747
ESP,Spain,Sep-20,31.28369
ARG,Argentina,Jan-19,4.212
ARG,Argentina,Feb-19,3.998
ARG,Argentina,Mar-19,3.956
ARG,Argentina,Apr-19,4.172
ARG,Argentina,May-19,4.645
ARG,Argentina,Jun-19,4.171
ARG,Argentina,Jul-19,4.905
ARG,Argentina,Aug-19,4.4
ARG,Argentina,Sep-19,4.002
ARG,Argentina,Oct-19,4.121
ARG,Argentina,Nov-19,3.409
ARG,Argentina,Dec-19,3.133
ARG,Argentina,Jan-20,3.534
ARG,Argentina,Feb-20,3.195
ARG,Argentina,Mar-20,3.175
ARG,Argentina,Apr-20,2.918
ARG,Argentina,May-20,3.168
ARG,Argentina,Jun-20,3.302
ARG,Argentina,Jul-20,3.452
ARG,Argentina,Aug-20,3.508
ARG,Argentina,Sep-20,4.127
SAU,Saudi Arabia,Jan-19,12.11431
SAU,Saudi Arabia,Feb-19,10.75853
SAU,Saudi Arabia,Mar-19,11.74533
SAU,Saudi Arabia,Apr-19,14.17468
SAU,Saudi Arabia,May-19,14.5003
SAU,Saudi Arabia,Jun-19,11.53122
SAU,Saudi Arabia,Jul-19,14.44837
SAU,Saudi Arabia,Aug-19,12.57571
SAU,Saudi Arabia,Sep-19,11.76298
SAU,Saudi Arabia,Oct-19,13.27989
SAU,Saudi Arabia,Nov-19,11.75437
SAU,Saudi Arabia,Dec-19,13.60561
SAU,Saudi Arabia,Jan-20,10.59519
SAU,Saudi Arabia,Feb-20,11.29557
SAU,Saudi Arabia,Mar-20,11.2024
SAU,Saudi Arabia,Apr-20,10.15606
SAU,Saudi Arabia,May-20,9.208995
SAU,Saudi Arabia,Jun-20,11.87236
SAU,Saudi Arabia,Jul-20,10.04302
SAU,Saudi Arabia,Aug-20,10.39613
CZE,Czech Republic,Jan-19,15.39914
CZE,Czech Republic,Feb-19,14.30547
CZE,Czech Republic,Mar-19,15.25188
CZE,Czech Republic,Apr-19,15.29145
CZE,Czech Republic,May-19,15.12438
CZE,Czech Republic,Jun-19,14.19438
CZE,Czech Republic,Jul-19,14.98313
CZE,Czech Republic,Aug-19,13.58356
CZE,Czech Republic,Sep-19,15.17564
CZE,Czech Republic,Oct-19,16.82171
CZE,Czech Republic,Nov-19,16.06016
CZE,Czech Republic,Dec-19,13.38874
CZE,Czech Republic,Jan-20,15.0383
CZE,Czech Republic,Feb-20,13.72936
CZE,Czech Republic,Mar-20,14.02466
CZE,Czech Republic,Apr-20,10.63296
CZE,Czech Republic,May-20,11.29764
CZE,Czech Republic,Jun-20,13.28533
CZE,Czech Republic,Jul-20,14.00549
CZE,Czech Republic,Aug-20,13.35236
CZE,Czech Republic,Sep-20,15.20703
CHE,Switzerland,Jan-19,16.93928
CHE,Switzerland,Feb-19,16.93098
CHE,Switzerland,Mar-19,17.93901
CHE,Switzerland,Apr-19,17.04497
CHE,Switzerland,May-19,18.12798
CHE,Switzerland,Jun-19,16.66016
CHE,Switzerland,Jul-19,18.5167
CHE,Switzerland,Aug-19,15.66454
CHE,Switzerland,Sep-19,17.05523
CHE,Switzerland,Oct-19,18.8178
CHE,Switzerland,Nov-19,17.1015
CHE,Switzerland,Dec-19,15.58399
CHE,Switzerland,Jan-20,16.5438
CHE,Switzerland,Feb-20,16.14512
CHE,Switzerland,Mar-20,18.29716
CHE,Switzerland,Apr-20,12.67583
CHE,Switzerland,May-20,13.63725
CHE,Switzerland,Jun-20,15.87446
